Měsíc,Platba,Plátce,Příjemce,Částka (Kč),Důvod platby,Zdroj
2015-03,2015-05-14,Praha,Adam Zábranský,5625,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/Adam/vycetka.docx?raw=true
2015-03,2015-04-26,Pirati,Jakub Michálek,8500,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-26,Pirati,Jakub Michálek,2000,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-26,Pirati,Mikuláš Ferjenčík,7090,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-26,Pirati,Mikuláš Ferjenčík,1500,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-26,Pirati,Ondřej Profant,8500,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-26,Pirati,Ondřej Profant,500,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-26,Pirati,Adam Zábranský,6703,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-26,Pirati,Adam Zábranský,1300,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-04,2015-05-11,Praha,Jakub Michálek,4192,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-11,Praha,Jakub Michálek,239,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-11,Praha,Jakub Michálek,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-11,Praha,Mikuláš Ferjenčík,4192,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-11,Praha,Mikuláš Ferjenčík,239,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-11,Praha,Mikuláš Ferjenčík,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-11,Praha,Ondřej Profant,4192,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-11,Praha,Ondřej Profant,239,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-11,Praha,Ondřej Profant,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-11,Praha,Adam Zábranský,3665,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-11,Praha,Adam Zábranský,766,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-11,Praha,Adam Zábranský,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-23,Pirati,Jakub Michálek,8500,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-23,Pirati,Jakub Michálek,5000,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-23,Pirati,Mikuláš Ferjenčík,7273,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-23,Pirati,Mikuláš Ferjenčík,800,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-23,Pirati,Ondřej Profant,8500,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-23,Pirati,Ondřej Profant,300,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-23,Pirati,Adam Zábranský,7110,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-04,2015-05-23,Pirati,Adam Zábranský,700,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/04/2015-04.ods?raw=true
2015-05,2015-06-09,Praha,Jakub Michálek,4339,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/05/2015-05.ods?raw=true
2015-05,2015-06-09,Praha,Jakub Michálek,247,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/05/2015-05.ods?raw=true
2015-05,2015-06-09,Praha,Jakub Michálek,900,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/05/2015-05.ods?raw=true
2015-05,2015-06-09,Praha,Mikuláš Ferjenčík,4339,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/05/2015-05.ods?raw=true
2015-05,2015-06-09,Praha,Mikuláš Ferjenčík,247,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/05/2015-05.ods?raw=true
2015-05,2015-06-09,Praha,Mikuláš Ferjenčík,900,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/05/2015-05.ods?raw=true
2015-05,2015-06-09,Praha,Ondřej Profant,4339,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/05/2015-05.ods?raw=true
2015-05,2015-06-09,Praha,Ondřej Profant,247,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/05/2015-05.ods?raw=true
2015-05,2015-06-09,Praha,Ondřej Profant,900,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/05/2015-05.ods?raw=true
2015-05,2015-06-09,Praha,Adam Zábranský,3837,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/05/2015-05.ods?raw=true
2015-05,2015-06-09,Praha,Adam Zábranský,749,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/05/2015-05.ods?raw=true
2015-05,2015-06-09,Praha,Adam Zábranský,900,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/05/2015-05.ods?raw=true
