IČO,Název,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total Result,kolikrát dostali dotaci
40764907,HC SPARTA PRAHA,,,,,,,,,0,,700 000,2 200 000,,,2 900 000,2
48133183,SaBaT Praha ,800 000,,,,0,,,,,,850 000,,,1 200 000,2 850 000,3
539724,Sportovní klub LTC Modřany 2005 z.s.,,,,,,,,,,,,,,2 800 000,2 800 000,1
550396,TJ LETOV LETŇANY,,,,,,,,,500 000,2 250 000,,,,,2 750 000,2
14891085,Sportovní klub Hradčany,,,,,,,,,,,,300 000,,2 450 000,2 750 000,2
25728113,AFK Slavoj Podolí Praha s.r.o.,,,,,,,,,,,,,,2 700 000,2 700 000,1
538647,Tělovýchovná jednota Sokol Horní Počernice,,,,,200 000,,,,800 000,700 000,,,500 000,450 000,2 650 000,5
540960,TJ Sokol Kolovraty,,,,,,2 500 000,,,,,,,,,2 500 000,1
43872921,NIKO Praha a. s.,,,,,,,,1 000 000,700 000,,,,,600 000,2 300 000,3
45246921,Rugby klub Petrovice,,1 900 000,,,300 000,,,100 000,,0,,,,,2 300 000,3
45251291,Radotínský SK,100 000,,,,1 400 000,,,,,,,,300 000,450 000,2 250 000,4
63838419,TČlocvičná jednota Sokol HostivaĜ,,,,,120 000,,,500 000,500 000,0,,360 000,,750 000,2 230 000,5
48547913,LAWN TENNIS CLUB ZBRASLAV,,,,,200 000,,,1 500 000,500 000,,,,,,2 200 000,3
26183111,"LETŇANY LAGOON, s.r.o.",,,,,,,,,600 000,300 000,700 000,,,500 000,2 100 000,4
45250413,Tenisový klub Sparta Praha o.s.,,,,,,,,,,,,600 000,,1 500 000,2 100 000,2
45313351,FK Újezd nad Lesy,1 800 000,,,,,0,,300 000,,,,,,,2 100 000,2
